combined loss time batch batch_per cutoff hidden l1 l2 latent msg
0.029983930495306205 0.07983959562868516 11.449049949645996 174.0 14.0 20.0 270.0 0.0001468270725905777 3.5882522951978176e-07 83.0 5.0
0.030304024023201155 0.08009060830780954 11.797852516174316 165.0 15.0 20.0 290.0 0.00014507573653111175 3.100793705326228e-07 87.0 4.0
0.030435209065854854 0.08028935576571194 11.46888017654419 161.0 15.0 20.0 301.0 0.00015622171507788117 3.8392190589155135e-07 86.0 5.0
0.030642046885679376 0.0803807215848629 12.018959522247314 171.0 15.0 20.0 275.0 0.00022567474972390411 4.85596547625291e-07 85.0 6.0
0.030741752303030147 0.0807298581171695 10.40163278579712 155.0 14.0 20.0 277.0 0.00016897959045368343 2.824016166387588e-07 96.0 5.0
0.03093455434493443 0.0809052665196732 10.639367818832397 157.0 14.0 20.0 269.0 0.00019755315949062378 7.893186727916498e-07 102.0 6.0
0.031022791102002362 0.08066854226901736 12.40214204788208 178.0 15.0 20.0 296.0 0.00014108372487004758 5.4231321462932e-07 84.0 5.0
0.031067227371194536 0.08104732584134149 10.525353193283081 158.0 14.0 20.0 268.0 0.00013619563026523188 3.6165546896789766e-07 95.0 5.0
0.03130190544157934 0.08129379877575253 10.333489418029785 154.0 14.0 20.0 271.0 0.0002005402068075286 5.388246040322277e-07 95.0 5.0
0.03146729528634568 0.08100634934245676 12.803409099578857 184.0 15.0 20.0 273.0 0.00012780288019656832 5.373784076521642e-07 82.0 6.0
0.031649866659731345 0.08095352689205612 13.553465127944946 181.0 16.0 21.0 516.0 0.0001967664460054653 4.843836660648998e-07 91.0 5.0
0.031732851621833445 0.08132101100879711 12.644972562789917 182.0 15.0 21.0 269.0 0.0001294000640021363 3.091363723404907e-07 91.0 5.0
0.0318006363170053 0.0817890242818908 10.403658866882324 143.0 15.0 20.0 263.0 0.00015589868155556547 4.7149095547179276e-07 85.0 6.0
0.03185339647458617 0.08165749775836745 11.763744831085205 166.0 15.0 20.0 275.0 0.00023157706863600515 3.012018173953646e-07 93.0 6.0
0.03210358266411444 0.08203304368161793 11.029098510742188 182.0 13.0 20.0 290.0 0.005376425265443819 4.523358978576762e-07 85.0 4.0
0.032305582267681765 0.08230507871963308 9.91727900505066 147.0 14.0 20.0 269.0 0.00019566532763138999 3.522125916629296e-07 97.0 5.0
0.032306328774819 0.08226494363376073 10.781874895095825 160.0 14.0 21.0 285.0 0.00020778987829688013 4.799042776294091e-07 97.0 4.0
0.0323382175947001 0.08231756743212074 10.546534061431885 158.0 14.0 20.0 266.0 0.00013680600379099294 3.1793676943355093e-07 83.0 4.0
0.03234294129831349 0.08200236627731465 12.405824899673462 179.0 15.0 21.0 288.0 0.00018504723341160415 3.472230274747115e-07 91.0 5.0
0.03234809991352242 0.08204624321347191 12.251147985458374 175.0 15.0 20.0 254.0 0.00014396184314844523 1.9938671269421118e-07 90.0 5.0
0.03237894527392488 0.08215742684452912 11.90200400352478 183.0 14.0 20.0 304.0 0.00013936611747936508 3.299783441040951e-07 94.0 4.0
0.032407208623720166 0.08223849850711241 11.642590761184692 178.0 14.0 21.0 285.0 0.00019448329406410877 6.35759015847241e-07 94.0 5.0
0.03278089123762153 0.08263354476617307 11.536980152130127 175.0 14.0 20.0 533.0 0.0001490752658171792 4.7644728784418307e-07 89.0 5.0
0.03278634204535371 0.08256202149819249 11.92817759513855 183.0 14.0 21.0 276.0 0.00020178865466063194 4.1604150420461766e-07 91.0 5.0
0.03289096230260706 0.0827412684232194 11.552843570709229 151.0 16.0 21.0 299.0 0.00013509240271237385 3.073626203173954e-07 90.0 6.0
0.032979439290665505 0.08297635260082427 10.2099609375 140.0 15.0 21.0 528.0 0.0001474279035303168 7.704818250071906e-07 87.0 5.0
